El Paso_TX,El Paso,TX,734669,1
Columbia_SC,Columbia,SC,716030,1
McAllen-Edinburg-Mission_TX,McAllen-Edinburg-Mission,TX,710514,1
Akron_OH,Akron,OH,699356,1
Greensboro-High Point_NC,Greensboro-High Point,NC,698497,1
Bradenton-Sarasota-Venice_FL,Bradenton-Sarasota-Venice,FL,687181,1
Springfield_MA,Springfield,MA,682657,1
Knoxville_TN,Knoxville,TN,681525,1
Stockton_CA,Stockton,CA,670990,1
Poughkeepsie-Newburgh-Middletown_NY,Poughkeepsie-Newburgh-Middletown,NY,669915,1
Little Rock-North Little Rock-Conway_AR,Little Rock-North Little Rock-Conway,AR,666401,1
Toledo_OH,Toledo,OH,650955,1
Syracuse_NY,Syracuse,NY,645293,1
Charleston-North Charleston-Summerville_SC,Charleston-North Charleston-Summerville,SC,630100,1
Greenville-Mauldin-Easley_SC,Greenville-Mauldin-Easley,SC,613828,1
Colorado Springs_CO,Colorado Springs,CO,609096,1
Wichita_KS,Wichita,KS,596452,1
Cape Coral-Fort Myers_FL,Cape Coral-Fort Myers,FL,590564,1
Boise City-Nampa_ID,Boise City-Nampa,ID,587689,1
Lakeland-Winter Haven_FL,Lakeland-Winter Haven,FL,574746,1
Youngstown-Warren-Boardman_OH-PA,Youngstown-Warren-Boardman,OH-PA,570704,1
Madison_WI,Madison,WI,555626,1
Scranton-Wilkes-Barre_PA,Scranton-Wilkes-Barre,PA,549430,1
Des Moines-West Des Moines_IA,Des Moines-West Des Moines,IA,546599,1
Palm Bay-Melbourne-Titusville_FL,Palm Bay-Melbourne-Titusville,FL,536161,1
Jackson_MS,Jackson,MS,534047,1
Harrisburg-Carlisle_PA,Harrisburg-Carlisle,PA,528892,1
Augusta-Richmond County_GA-SC,Augusta-Richmond County,GA-SC,528519,1
Ogden-Clearfield_UT,Ogden-Clearfield,UT,518349,1
Chattanooga_TN-GA,Chattanooga,TN-GA,514568,1
Portland-South Portland-Biddeford_ME,Portland-South Portland-Biddeford,ME,513102,1
Modesto_CA,Modesto,CA,511263,1
